X,Y,OBJECTID,Codice Loc,Cod.Linea,Nome Local,DOIT,Tipologia,Nome dell',CODICE LIN,Categoria,Circolazio,Link - Url,Tariffa St,SCT,GlobalID,x,y,icon_url
11.3555307878892,45.7109288713185,"919","26900",K069,SCHIO,Verona,Stazione,,VR65,Silver,CA di Verona,,SILVER,NORD EST,{281A2CA0-577E-4A96-842C-8AE937D87657},"1264091.9049951711","5734145.7637030445",./0.png
11.6356928355138,45.5188023555522,"920","26940",J025,LERINO,Venezia,Fermata,,VE01,Bronze,CA di Venezia-Trieste,,BRONZE,NORD EST,{586E7FB4-D909-4D6B-B89F-BE81A450B863},"1295279.4014763334","5703569.450298501",./1.png
11.710778957288,45.4864622218558,"921","26980",J025,GRISIGNANO DI ZOCCO,Venezia,Stazione,GRISIGNANO DI ZOCCO,VE01,Bronze,CA di Venezia-Trieste,,BRONZE,NORD EST,{5CB0914D-23E1-4A6C-81D5-647C8BEE9030},"1303637.9503178885","5698432.900013214",./1.png
11.7738772338855,45.4579559041088,"922","26990",J025,MESTRINO,Venezia,Fermata,,VE01,Bronze,CA di Venezia-Trieste,,BRONZE,NORD EST,{FFBAA004-354C-42A5-8BBA-523F4F88EF7F},"1310662.01833865","5693907.715527759",./1.png
11.8808131179471,45.4179288151991,"924","27040",J025,PADOVA,Venezia,Stazione,,VE01,Platinum,CA di Venezia-Trieste,,PLATINUM,NORD EST,{058458F4-9B46-43FE-9A26-7763EFC3B156},"1322566.0664999129","5687557.546422161",./3.png
11.9511964067009,45.4298573281641,"926","27085",J033,BUSA DI VIGONZA,Venezia,Fermata,,VE20,Silver,CA di Venezia-Trieste,,SILVER,NORD EST,{269B74AF-7B10-4B95-A784-573CDAA38DB5},"1330401.098364347","5689449.495579639",./0.png
12.0181588192097,45.4428053182248,"927","27120",J033,VIGONZA-PIANIGA,Venezia,Fermata,,VE20,Silver,CA di Venezia-Trieste,,SILVER,NORD EST,{ED2BBBAA-1671-43E6-8A92-4E78FF045C0D},"1337855.320027111","5691503.593858978",./0.png
12.0718073251645,45.4534629718359,"928","27160",J033,DOLO,Venezia,Stazione,,VE20,Silver,CA di Venezia-Trieste,,SILVER,NORD EST,{CECFECE0-8C69-4B6E-934A-DC34B371A433},"1343827.444391824","5693194.701754204",./0.png
12.1189866578952,45.4629291227794,"930","27200",R003,MIRA-MIRANO,Venezia,Fermata,,VE20,Silver,CA di Venezia-Trieste,,SILVER,NORD EST,{8D55D6EB-3B57-4FD8-982F-7A5661EFD58B},"1349079.4236873658","5694697.015444916",./0.png
12.2324160150678,45.4818584375373,"931","27300",R003,VENEZIA MESTRE,Venezia,Stazione,,VE01,Platinum,CA di Venezia-Trieste,http://www.grandistazioni.it/content/grandiStazioni/it/l-azienda/a-r-t-.html,PLATINUM,NORD EST,{D92966B5-424E-4A7C-BA83-DA9D1D92A8C8},"1361706.321968834","5697701.925495258",./3.png
12.2565388674865,45.4721711973084,"932","27320",R003,VENEZIA PORTO MARGHERA,Venezia,Fermata,,VE20,Silver,CA di Venezia-Trieste,,SILVER,NORD EST,{D6C74D25-4AE5-44A4-A154-07D6AE5C5182},"1364391.6656165677","5696164.010750104",./0.png
12.321116046174,45.4413569375746,"935","27385",R003,VENEZIA S.LUCIA,Venezia,Stazione,,VE20,Platinum,CA di Venezia-Trieste,http://www.grandistazioni.it/content/grandiStazioni/it/l-azienda/a-r-t-.html,PLATINUM,NORD EST,{EEC6357D-41F0-46F9-8B08-8665B77F74AC},"1371580.3642649215","5691273.796078903",./3.png
12.8323895607595,45.7815082508948,"936","27390",J035,PORTOGRUARO-CAORLE,Venezia,Stazione,PORTOGRUARO-CAORLE,VE02,Silver,CA di Venezia-Trieste,,SILVER,NORD EST,{BA80F792-0F93-4521-91F9-431F1184715B},"1428495.0715646648","5745404.630577624",./0.png
12.759428887008,45.752022150391,"937","27410",J035,LISON,Venezia,Fermata,,VE02,Bronze,CA di Venezia-Trieste,,BRONZE,NORD EST,{BF1B206A-0243-4D81-ADAF-A958FE66AE9E},"1420373.1265147156","5740699.257888643",./1.png
12.6827859332592,45.7211680389317,"938","27420",J035,S.STINO DI LIVENZA,Venezia,Stazione,S.STINO DI LIVENZA,VE02,Silver,CA di Venezia-Trieste,,SILVER,NORD EST,{EB350CA2-0CA0-43F2-AB9D-0E4D0FDFC1C4},"1411841.2719305074","5735778.239754686",./0.png
12.6339961302938,45.6884739777373,"939","27460",J035,CEGGIA,Venezia,Fermata,,VE02,Silver,CA di Venezia-Trieste,,SILVER,NORD EST,{98D9813B-D464-4567-B3B0-A4EED8CFEDFB},"1406410.015908498","5730566.726885265",./0.png
12.5597989476719,45.6399112761074,"940","27500",J035,S.DONA' DI PIAVE JESOLO,Venezia,Stazione,,VE02,Silver,CA di Venezia-Trieste,,SILVER,NORD EST,{EA50BD7B-20E1-4EAD-9D93-D30523919131},"1398150.4233207325","5722831.333598097",./0.png
12.5004037172316,45.6242910771959,"941","27540",J035,FOSSALTA DI PIAVE,Venezia,Fermata,,VE02,Bronze,CA di Venezia-Trieste,,BRONZE,NORD EST,{725B5B1A-45BA-4BE1-8D44-36F7DBEA4E99},"1391538.5765125628","5720344.668675068",./1.png
