X,Y,DOIT,PROVINCIA,LINEA,COMUNE,KM_PL,TIPOLOGIA,LAT,LON,VIA,TIPO_ACCOR,AVANZAMENT,LINK,Codice_SFM,icon_url
11.89993883,45.67596343,VE,(TV),56_MESTRE-TRENTO,CASTELFRANCO VENETO,35+186,Barriere complete,45.6759634300000,11.8999388300000,Via Pagnana,ACC_2017,PFTE,56_MESTRE-TRENTO\PL\2.02_Castelfranco_35+186_via_Pagnana,,./2.png
11.89198465,45.68028271,VE,(TV),56_MESTRE-TRENTO,CASTELLO DI GODEGO,35+971,Barriere complete,45.6802827100000,11.8919846499999,Via S. Giustina,ACC_2018,PFTE APPROFONDIMENTI NECES,56_MESTRE-TRENTO\PL\2.03_CastelloGodego_35+971-37+474,,./1.png
11.87656375,45.68862975,VE,(TV),56_MESTRE-TRENTO,CASTELLO DI GODEGO,37+474,Barriere complete,45.6886297499999,11.8765637500000,Via Grande,ACC_2017,PFTE,56_MESTRE-TRENTO\PL\2.03_CastelloGodego_35+971-37+474,,./2.png
11.86935013,45.69254048,VE,(TV),56_MESTRE-TRENTO,CASTELLO DI GODEGO,38+184,Barriere complete,45.6925404799999,11.8693501300000,Via Alberon,ACC_2017,PFTE,56_MESTRE-TRENTO\PL\2.04_castelloGodego_38+184,,./2.png
11.86453936,45.69516656,VE,(TV),56_MESTRE-TRENTO,CASTELLO DI GODEGO,38+657,Barriere complete,45.6951665599999,11.8645393600000,Via Chioggia,ACC_2017,PD,56_MESTRE-TRENTO\PL\2.05_KM_38+657_SR245 via Chioggia,,./2.png
11.8552785,45.7001671,VE,(TV),56_MESTRE-TRENTO,CASTELLO DI GODEGO,39+570,Barriere complete,45.7001671000000,11.8552785000000,Via Ca' Leoncino,ACC_2017,,,,./2.png
12.63728579,45.69066129,VE,(VE),52_VENEZIA MESTRE-TRIESTE,CEGGIA,41+073,Barriere complete,45.6906612900000,12.6372857900000,Via Vittoria,,,,,./0.png
12.64002548,45.69255513,VE,(VE),52_VENEZIA MESTRE-TRIESTE,CEGGIA,41+35,Barriere complete,45.6925551300000,12.6400254800000,Via Giuglielmo Marconi,,,,,./0.png
12.64497653,45.69597157,VE,(VE),52_VENEZIA MESTRE-TRIESTE,CEGGIA,41+890,Barriere complete,45.6959715699999,12.6449765299999,Via Donegal,,,52_VENEZIA MESTRE-TRIESTE\PL\3.09a_Ceggia_41+890_viaDonegal,,./0.png
11.17553457,45.19212,VR,(VR),48_CODOGNO-MANTOVA-MONSELICE,CEREA,124+479,Barriere complete,45.1921200000000,11.1755345700000,Via favaletto (2024?),,,,,./0.png
11.20553693,45.20143449,VR,(VR),48_CODOGNO-MANTOVA-MONSELICE,CEREA,127+056,Barriere complete,45.2014344899999,11.2055369299999,SP2 Legnaghese,,,,,./0.png
11.21751582,45.19255498,VR,(VR),48_ISOLA DELLA SCALA-ROVIGO,CEREA,128+538,Barriere complete,45.1925549799999,11.2175158199999,Viale dei caduti,,,,,./0.png
11.27750918,45.19116329,VR,(VR),48_ISOLA DELLA SCALA-ROVIGO,LEGNAGO,133+297,Barriere complete,45.1911632899999,11.2775091799999,Via Albero,ACC_2017,,,,./2.png
11.18655655,45.22117934,VR,(VR),48_ISOLA DELLA SCALA-ROVIGO,CEREA,43+103,Barriere complete,45.2211793399999,11.1865565500000,Via Isolella bassa,ACC_2017,PE,48_ISOLA DELLA SCALA-ROVIGO\PL\Cerea_km_43+103-43+494-44+620 via Isolella\Elaborati_PE_RFI,,./2.png
11.1997077,45.21118869,VR,(VR),48_ISOLA DELLA SCALA-ROVIGO,CEREA,44+620,Barriere complete,45.2111886900000,11.1997076999999,Vicolo san zeno,ACC_2017,PE,48_ISOLA DELLA SCALA-ROVIGO\PL\Cerea_km_43+103-43+494-44+620 via Isolella\Elaborati_PE_RFI,,./2.png
11.20553761,45.20676316,VR,(VR),48_ISOLA DELLA SCALA-ROVIGO,CEREA,45+290,Barriere complete,45.2067631600000,11.2055376100000,Via Campi di su,,,,,./0.png
11.88203827,45.04872953,VE,(RO),58_ROVIGO-CHIOGGIA,CEREGNANO,10+463,Cancello/Catena con lucchetto/Altro,45.0487295300000,11.8820382700000,,,,,,./0.png
11.90879849,45.04419224,VE,(RO),58_ROVIGO-CHIOGGIA,CEREGNANO,12+617,Barriere complete,45.0441922400000,11.9087984900000,Via San Francesco,,,,,./0.png
11.91773858,45.04267945,VE,(RO),58_ROVIGO-CHIOGGIA,CEREGNANO,13+342,Cancello/Catena con lucchetto/Altro,45.0426794500000,11.9177385800000,,,,,,./0.png
11.92605366,45.04405193,VE,(RO),58_ROVIGO-CHIOGGIA,CEREGNANO,14+033,Cancello/Catena con lucchetto/Altro,45.0440519300000,11.9260536599999,,,,,,./0.png
11.93010223,45.04545182,VE,(RO),58_ROVIGO-CHIOGGIA,CEREGNANO,14+388,Barriere complete,45.0454518199999,11.9301022299999,Via G. Rossini,,,,,./0.png
11.93377345,45.04671535,VE,(RO),58_ROVIGO-CHIOGGIA,CEREGNANO,14+709,Cancello/Catena con lucchetto/Altro,45.0467153499999,11.9337734500000,,,,,,./0.png
11.94116168,45.04927147,VE,(RO),58_ROVIGO-CHIOGGIA,CEREGNANO,15+356,Cancello/Catena con lucchetto/Altro,45.0492714700000,11.9411616800000,,,,,,./0.png
11.95034595,45.05231463,VE,(RO),58_ROVIGO-CHIOGGIA,CEREGNANO,16+154,Cancello/Catena con lucchetto/Altro,45.0523146299999,11.9503459500000,,,,,,./0.png
11.96976097,45.0528534,VE,(RO),58_ROVIGO-CHIOGGIA,CEREGNANO,17+708,Cancello/Catena con lucchetto/Altro,45.0528533999999,11.9697609699999,,,,,,./0.png
11.86946443,45.05087226,VE,(RO),58_ROVIGO-CHIOGGIA,CEREGNANO,9+435,Barriere complete,45.0508722599999,11.8694644300000,Via C. Battisti,,,,,./0.png
12.25000831,45.11015252,VE,(VE),58_ROVIGO-CHIOGGIA,CHIOGGIA,44+089,Barriere complete,45.1101525200000,12.2500083100000,Via Lungo Adige,,,,,./0.png
12.2483788,45.11283519,VE,(VE),58_ROVIGO-CHIOGGIA,CHIOGGIA,44+415,Barriere complete,45.1128351899999,12.2483787999999,Via Del Bosco,ACC_2018,,Chioggia,,./1.png
12.25930913,45.13107983,VE,(VE),58_ROVIGO-CHIOGGIA,CHIOGGIA,46+669,Barriere complete,45.1310798299999,12.2593091300000,Via Canal di Valle,,,,,./0.png
12.26355911,45.13921529,VE,(VE),58_ROVIGO-CHIOGGIA,CHIOGGIA,47+63,Barriere complete,45.1392152900000,12.2635591099999,Via Vecchia Romea,,,,,./0.png
12.26702091,45.14582542,VE,(VE),58_ROVIGO-CHIOGGIA,CHIOGGIA,48+409,Barriere complete,45.1458254200000,12.2670209099999,Via Bruno Maderna,,,,,./0.png
12.27134231,45.15503289,VE,(VE),58_ROVIGO-CHIOGGIA,CHIOGGIA,49+493,Barriere complete,45.1550328900000,12.2713423100000,Via Vecchia Romea,ACC_2018,USCITO_ACC_2018,Chioggia,,./1.png
12.27171984,45.15781639,VE,(VE),58_ROVIGO-CHIOGGIA,CHIOGGIA,49+804,Barriere complete,45.1578163900000,12.2717198399999,Vicolo dei Fiori,,,,,./0.png
12.27555586,45.17508627,VE,(VE),58_ROVIGO-CHIOGGIA,CHIOGGIA,51+746,Barriere complete,45.1750862700000,12.2755558600000,Via Vecchia Romea,,,,,./0.png
12.27645783,45.17862356,VE,(VE),58_ROVIGO-CHIOGGIA,CHIOGGIA,52+149,Barriere complete,45.1786235599999,12.2764578300000,Via canal di Valle,,,,,./0.png
12.2747107,45.20031318,VE,(VE),58_ROVIGO-CHIOGGIA,CHIOGGIA,54+684,Barriere complete,45.2003131800000,12.2747107000000,Via Bruno Buozzi,ACC_2018,USCITO_ACC_2018,Chioggia,,./1.png
12.27506847,45.20674259,VE,(VE),58_ROVIGO-CHIOGGIA,CHIOGGIA,55+397,Barriere complete,45.2067425899999,12.2750684700000,Via Filippo Turati,,,,,./0.png
11.69640884,45.96658171,VE,(VI),56_MESTRE-TRENTO,VALBRENTA,80+366,Barriere complete,45.9665817100000,11.6964088400000,via Lazzaretto,,,,,./0.png
11.6865234511475,45.9719178240899,VE,(VI),56_MESTRE-TRENTO,VALBRENTA,81+338,Barriere complete,45.9719648000000,11.6867152999999,Via Ori,,,,,./0.png
11.79228,45.67578,VE,(PD),55_BASSANO-PADOVA,CITTADELLA,10+974,Barriere complete,45.6757800000000,11.7922800000000,Via della salute,,,,,./0.png
11.79449278,45.66824182,VE,(PD),55_BASSANO-PADOVA,CITTADELLA,11+832,Barriere complete,45.6682418199999,11.7944927800000,Via Postumia di Levante,,,,,./0.png
11.79088832,45.64979516,VE,(PD),55_BASSANO-PADOVA,CITTADELLA,13+957,Barriere complete,45.6497951599999,11.7908883200000,Via Borgo treviso,,,,,./0.png
11.7894216697442,45.6370733268765,VE,(PD),55_BASSANO-PADOVA,CITTADELLA,15+381,Barriere complete,45.6384699999999,11.7876200000000,Via Bellinghiera,,,,,./0.png
11.80060571,45.62987354,VE,(PD),55_BASSANO-PADOVA,CITTADELLA,16+599,Barriere complete,45.6298735399999,11.8006057099999,Via case Bianche,,,,,./0.png
11.78767227,45.63841321,VE,(PD),55_VICENZA-TREVISO,CITTADELLA,23+033,Barriere complete,45.6384132100000,11.7876722700000,Via Borgo Padova,,,,,./0.png
12.32022,45.91804,VE,(TV),54_CONEGLIANO- PONTE NELLE ALPI,CONEGLIANO,5+246,Barriere complete,45.9180399999999,12.3202200000000,via SS Trinita,,,,,./0.png
12.31954105,45.92862695,VE,(TV),54_CONEGLIANO- PONTE NELLE ALPI,CONEGLIANO,6+421,Barriere complete,45.9286269500000,12.3195410500000,calle dell'Ebreo,,,,,./0.png
12.31940658,45.93250751,VE,(TV),54_CONEGLIANO- PONTE NELLE ALPI,CONEGLIANO,6+852,Barriere complete,45.9325075100000,12.3194065800000,via Pastin Santin,,,,,./0.png
12.31664608,45.93996468,VE,(TV),54_CONEGLIANO- PONTE NELLE ALPI,CONEGLIANO,7+713,Barriere complete,45.9399646800000,12.3166460800000,,,,,,./0.png
12.01342623,45.83244502,VE,(TV),54_PADOVA-CALALZO,CORNUDA,27+164,Barriere complete,45.8324450200000,12.0134262300000,via S. Urbano,,,,,./0.png
11.6829906,45.04218849,VR,(RO),48_ISOLA DELLA SCALA-ROVIGO,COSTA DI ROVIGO,92+059,Barriere complete,45.0421884900000,11.6829906000000,Via Gognano,,,,,./0.png
11.69031018,45.04413085,VR,(RO),48_ISOLA DELLA SCALA-ROVIGO,COSTA DI ROVIGO,92+672,Barriere complete,45.0441308500000,11.6903101800000,Via Gabuolo,,,,,./0.png
11.69380955,45.0450657,VR,(RO),48_ISOLA DELLA SCALA-ROVIGO,COSTA DI ROVIGO,92+966,Barriere complete,45.0450657000000,11.6938095499999,Via G. Matteotti,,,,,./0.png
11.70267727,45.0474098,VR,(RO),48_ISOLA DELLA SCALA-ROVIGO,COSTA DI ROVIGO,93+712,Barriere complete,45.0474097999999,11.7026772700000,Via Dossei,ACC_2018,PFTE,Costa di Rovigo,,./1.png
11.70591382,45.04825972,VR,(RO),48_ISOLA DELLA SCALA-ROVIGO,COSTA DI ROVIGO,93+982,Barriere complete,45.0482597199999,11.7059138199999,Via Badaloni,,,,,./0.png
11.71141843,45.04971586,VR,(RO),48_ISOLA DELLA SCALA-ROVIGO,COSTA DI ROVIGO,94+444,Barriere complete,45.0497158599999,11.7114184300000,Via Basse Pioppe,ACC_2018,PFTE,Costa di Rovigo,,./1.png
12.02394275,45.81717355,VE,(TV),54_PADOVA-CALALZO,CROCETTA DEL MONTELLO,25+273,Barriere complete,45.8171735500000,12.0239427500000,Via Brentellona,,,,,./0.png
12.01942941,45.82332814,VE,(TV),54_PADOVA-CALALZO,CROCETTA DEL MONTELLO,26+044,Barriere complete,45.8233281400000,12.0194294100000,Via Sant'Andrea,,,,,./0.png
12.01626479,45.82765401,VE,(TV),54_PADOVA-CALALZO,CROCETTA DEL MONTELLO,26+588,Barriere complete,45.8276540100000,12.0162647899999,Via Caodevilla,,,,,./0.png
11.56096168,45.62144915,VR,(VI),47_VICENZA-SCHIO,DUEVILLE,10+791,Barriere complete,45.6214491499999,11.5609616800000,Via Palladio,ACC_2018,DPP,Dueville,,./1.png
11.5570281,45.6249861,VR,(VI),47_VICENZA-SCHIO,DUEVILLE,11+29,Cancello/Catena con lucchetto/Altro,45.6249861000000,11.5570281000000,,,,,,./0.png
11.55134984,45.63012445,VR,(VI),47_VICENZA-SCHIO,DUEVILLE,12+01,Barriere complete,45.6301244499999,11.5513498400000,Via Marconi,,,,,./0.png
11.54726401,45.63384845,VR,(VI),47_VICENZA-SCHIO,DUEVILLE,12+53,Barriere complete,45.6338484500000,11.5472640099999,Via Roma,,,,,./0.png
11.53964324,45.64185315,VR,(VI),47_VICENZA-SCHIO,DUEVILLE,13+601,Barriere complete,45.6418531500000,11.5396432400000,Via monte Pasubio,,,,,./0.png
11.63546229,45.22135666,VR,(PD),48_CODOGNO-MANTOVA-MONSELICE,ESTE,163+034,Barriere complete,45.2213566599999,11.6354622900000,Via Riva di Fiume,ACC_2018,USCITO_ACC_2018,Este,,./1.png
11.64287907,45.22157828,VR,(PD),48_CODOGNO-MANTOVA-MONSELICE,ESTE,163+616,Cancello/Catena con lucchetto/Altro,45.2215782800000,11.6428790699999,,,,,,./0.png
11.64650778,45.22168108,VR,(PD),48_CODOGNO-MANTOVA-MONSELICE,ESTE,163+902,Barriere complete,45.2216810800000,11.6465077800000,Via Morlungo,,,,,./0.png
11.6610091,45.2212161,VR,(PD),48_CODOGNO-MANTOVA-MONSELICE,ESTE,165+047,Barriere complete,45.2212160999999,11.6610090999999,Via Corradini,ACC_2018,USCITO_ACC_2018,Este,,./1.png
11.67353705,45.21947482,VR,(PD),48_CODOGNO-MANTOVA-MONSELICE,ESTE,166+051,Barriere complete,45.2194748200000,11.6735370500000,Via Zuccherificio,,,,,./0.png
11.95359046,45.98524227,VE,(BL),54_PADOVA-CALALZO,FELTRE,48+648,Cancello/Catena con lucchetto/Altro,45.9852422700000,11.9535904599999,,,,,,./0.png
11.95067772,45.98254957,VE,(BL),54_PADOVA-CALALZO,FELTRE,49+03,Cancello/Catena con lucchetto/Altro,45.9825495700000,11.9506777200000,,,,,,./0.png
11.94291951,45.97859499,VE,(BL),54_PADOVA-CALALZO,FELTRE,49+783,Cancello/Catena con lucchetto/Altro,45.9785949899999,11.9429195099999,,,,,,./0.png
11.91481894,46.01373237,VE,(BL),54_PADOVA-CALALZO,FELTRE,54+843,Barriere complete,46.0137323700000,11.9148189400000,via Trevigiana,,,,,./0.png
